itemInternalName,korean_name,english_name,korean_set_name,english_set_name,korean_part_name,english_part_name
Guitar Acoustic Suit,컨트리 코스튬,Country Singer Costume,컨트리 가수 세트,Country Singer Set,코스튬,Costume
Guitar Acoustic Hat,컨트리 모자,Country Singer Hat,컨트리 가수 세트,Country Singer Set,모자,Hat
Guitar Acoustic Mustache,컨트리 수염,Country Singer Mustache,컨트리 가수 세트,Country Singer Set,수염,Mustache
Guitar Elec Crown,락 왕관,Rock Star Crown,락스타 세트,Rock Star Set,왕관,Crown
Guitar Elec Guitar,락 일렉기타,Rock Star Electric Guitar,락스타 세트,Rock Star Set,일렉기타,Electric Guitar
Guitar Elec Suit,락 코스튬,Rock Star Costume,락스타 세트,Rock Star Set,zhtmxba,Costume
Guitar Elec Glasses,락 선글라스,Rock Star Sunglasses,락스타 세트,Rock Star Set,안경,Sunglasses
Laser Baby Rex,빙글 아기 괴수옷,Laser Baby Rex Costume,빙글 아기 세트,Laser Baby Set,렉스 옷,Rex Costume
Laser Teen Rex,빙글 완전체 괴수옷,Laser Teen Rex Costume,빙글 완전체 세트,Laser Teen Set,렉스 옷,Rex Costume
Nano Local Pot,오리나무 화분,Duck Tree Pot,오리나무 재배 세트,Duck Tree Set,화분,Pot
Nano Local Suit,오리나무 재배 옷,Duck Tree Gardening Suit,오리나무 재배 세트,Duck Tree Set,앞치마,Gardening Suit
Nano Local Glasses,오리나무 재배 안경,Duck Tree Gardening Glasses,오리나무 재배 세트,Duck Tree Set,안경,Gardening Glasses
Nano Local Hat,오리나무 재배 모자,Duck Tree Gardening Hat,오리나무 재배 세트,Duck Tree Set,모자,Gardening Hat
Origami Shirt,종이 접기 세일러복,Origami Sailor Shirt,종이 접기 세트,Origami Set,세일러복,Shirt
Origami Glasses,종이 접기 안경,Origami Glasses,종이 접기 세트,Origami Set,안경,Glasses
Origami Plane,종이 접기 비행기,Origami Airplane,종이 접기 세트,Origami Set,비행기,Airplane
Origami Ship Hat,종이접기 모자,Origami Ship Hat,종이 접기 세트,Origami Set,배모자,Hat
Soccer Champion Ball,챔피언 축구공,Champion Soccer Ball,챔피언 축구 세트,Champion Soccer Set,공,Ball
Soccer Champion Glasses,챔피언 축구 고글,Champion Soccer Goggles,챔피언 축구 세트,Champion Soccer Set,고글,Goggles
Soccer Champion Shirt,챔피언 축구 셔츠,Champion Soccer Shirt,챔피언 축구 세트,Champion Soccer Set,셔츠,Shirt
Soccer Champion Trophy,챔피언 축구 트로피,Champion Soccer Trophy,챔피언 축구 세트,Champion Soccer Set,트로피,Trophy
Soccer Local Ball,조기 축구공,Local Soccer Ball,조기 축구 세트,Local Soccer Set,공,Ball
Soccer Local Drink,조기축구 드링크,Local Soccer Drink,조기 축구 세트,Local Soccer Set,드링크,Drink
Soccer Local Glasses,조기 축구 고글,Local Soccer Goggles,조기 축구 세트,Local Soccer Set,고글,Goggles
Soccer Local Shirt,조기축구 셔츠,Local Soccer Shirt,조기 축구 세트,Local Soccer Set,러닝 셔츠,Shirt
Tennis Champion Racket,그랜드 슬램 라켓,Grand Slam Racket,그랜드 슬램 세트,Grand Slam Set,라켓,Racket
Tennis Champion Shirt,그랜드 슬램 셔츠,Grand Slam Shirt,그랜드 슬램 세트,Grand Slam Set,셔츠,Shirt
Tennis Champion WingCap,그랜드 슬램 모자,Grand Slam Wing Cap,그랜드 슬램 세트,Grand Slam Set,날개 모자,Wing Cap
Tennis Champion Glasses,그랜드 슬램 안경,Grand Slam Glasses,그랜드 슬램 세트,Grand Slam Set,고글,Glasses
Tennis Local Cap,클럽 테니스 모자,Club Tennis Cap,클럽 테니스 세트,Club Tennis Set,모자,Cap
Tennis Local OpenShirt,클럽 테니스 셔츠,Club Tennis Open Shirt,클럽 테니스 세트,Club Tennis Set,셔츠,Open Shirt
Tennis Local Racket,클럽 테니스 라켓,Club Tennis Racket,클럽 테니스 세트,Club Tennis Set,라켓,Racket
Tennis Local Glasses,클럽 테니스 안경,Club Tennis Glasses,클럽 테니스 세트,Club Tennis Set,안경,Glasses
Tesla Glasses,테슬라 고글,Tesla Goggles,테슬라 세트,Tesla Set,안경,Goggles
Tesla Suit,테슬라 수트,Tesla Suit,테슬라 세트,Tesla Set,수트,Suit
Tesla Tower,테슬라 전기탑,Tesla Tower,테슬라 세트,Tesla Set,전기탑,Tower
Tesla Book,테슬라 책,Tesla Book,테슬라 세트,Tesla Set,책,Book
Thor Helmet,토르 헬멧,Thor's Helmet,토르 세트,Thor's Set,멋진 헬멧,Helmet
Thor Glasses,토르 고글,Thor's Goggles,토르 세트,Thor's Set,선글라스,Goggles
Thor Jacket,토르 재킷,Thor's Jacket,토르 세트,Thor's Set,가죽 재킷,Jacket
Thor Hammer,토르 망치,Thor's Hammer,토르 세트,Thor's Set,망치,Hammer
Volley Beach Ball,비치 발리 공,Beach Volleyball,비치 발리볼 세트,Beach Volley Set,연습구,Volleyball
Volley Beach Headset,비치 발리 헤드셋,Beach Volley Headset,비치 발리볼 세트,Beach Volley Set,헤드셋,Headset
Volley Beach Suit,비치 발리 세트,Beach Volley Suit,비치 발리볼 세트,Beach Volley Set,트레이닝복,Suit
Volley Beach Glasses,비치 발리 안경,Beach Volley Glasses,비치 발리볼 세트,Beach Volley Set,고글,Glasses
Volley Pro Suit,프로 배구 유니폼,Pro Volleyball Uniform,프로 배구 세트,Pro Volleyball Set,유니폼,Uniform
Volley Pro Visor,프로 배구 모자,Pro Volleyball Visor,프로 배구 세트,Pro Volleyball Set,모자,Visor
Volley Pro Glasses,프로 배구 안경,Pro Volleyball Glasses,프로 배구 세트,Pro Volleyball Set,고글,Glasses
Volley Pro Ball,프로 배구 공,Pro Volleyball,프로 배구 세트,Pro Volleyball Set,공,Volleyball
Yoyo Classic Suit,클래식 요요 수트,Classic Yoyo Suit,클래식 요요 세트,Classic Yoyo Set,수트,Suit
Yoyo Classic Hat,클래식 요요 모자,Classic Yoyo Hat,클래식 요요 세트,Classic Yoyo Set,빵모자,Hat
Yoyo Classic Glasses ,클래식 요요 안경,Classic Yoyo Glasses,클래식 요요 세트,Classic Yoyo Set,안경,Glasses
Yoyo Classical Yoyo,클래식 요요,Classic Yoyo,클래식 요요 세트,Classic Yoyo Set,황금 요요,Golen Yoyo
Yoyo Cap,어린이 요요 모자,Kid's Yoyo Cap,어린이 요요 세트,Kid's Yoyo Set,모자,Cap
Yoyo Glasses,어린이 요요 안경,Kid's Yoyo Glasses,어린이 요요 세트,Kid's Yoyo Set,안경,Glasses
Yoyo Overalls,어린이 요요 멜빵바지,Kid's Yoyo Overalls,어린이 요요 세트,Kid's Yoyo Set,맬빵 바지,Overalls
Yoyo Practice Yoyo,어린이 요요,Kid's Practice Yoyo,어린이 요요 세트,Kid's Yoyo Set,장난감 요요,Toy Yoyo
Zap Baby Demon,지직 아기 괴수옷,Zap Baby Demon Costume,지직 아기 세트,Zap Baby Set,괴수 옷,Demon Costume
Zap Teen Demon,지직 완전체 괴수옷,Zap Teen Demon Costume,지직 완전체 세트,Zap Teen Set,괴수 옷,Demon Costume
Egg,알,Egg,알 세트,Egg Set,알,Egg
